Lepetodrilus ovalis,urn:lsid:marinespecies.org:taxname:449977,11,35,7,51,4,0,0,0,0,0,0,0,23,6,4,1,17,6,0,1,11,39,0,70,18,18,39,2,15,3,0,1,0,0,1,1
Lepetodrilus spp.,urn:lsid:marinespecies.org:taxname:180907,0,0,0,0,0,0,1738,633,1056,268,465,527,2584,9464,5373,8567,204,308,1155,1522,256,5,1,16,31,30,13,1,30,6,0,3,0,1,0,0
Lepetodrilus tevnianus,urn:lsid:marinespecies.org:taxname:449980,0,0,0,0,0,0,378,1268,1557,18,56,556,33,217,97,106,2,7,76,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepetodrilus pustulosus,urn:lsid:marinespecies.org:taxname:449978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanodrymia sp.,urn:lsid:marinespecies.org:taxname:449912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pachydermia laevis,urn:lsid:marinespecies.org:taxname:449994,0,0,0,0,0,0,2,0,0,0,1,1,6,1,18,19,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Peltospira delicata,urn:lsid:marinespecies.org:taxname:413443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Phymorhynchus major,urn:lsid:marinespecies.org:taxname:137827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20
Planorbidella planispira,urn:lsid:marinespecies.org:taxname:450000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Provanna sp.,urn:lsid:marinespecies.org:taxname:391510,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Rhynchopelta concentrica,urn:lsid:marinespecies.org:taxname:450018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sutilizona theca,urn:lsid:marinespecies.org:taxname:450019,0,0,0,0,0,0,9,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathymodiolus thermophilus,urn:lsid:marinespecies.org:taxname:183000,2,1,5,44,1,0,1,0,1,0,0,1,38,55,79,88,26,25,6,21,2,5,2,2,1,0,0,0,2,1,0,3,1,0,0,1
Catillopecten vulcani,urn:lsid:marinespecies.org:taxname:391784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvinella sp.,urn:lsid:marinespecies.org:taxname:336171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphisamytha galapagensis,urn:lsid:marinespecies.org:taxname:326388,177,26,175,128,21,8,87,29,7,2,0,2,40,97,87,20,0,19,26,26,41,120,66,135,34,34,20,6,36,9,4,16,13,83,2,5
Archinome rosacea,urn:lsid:marinespecies.org:taxname:333028,31,36,4,10,7,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0,5,9,29,17,12,4,9,1,65,0,0,0,0,20,0,0
Branchinotogluma sp.,urn:lsid:marinespecies.org:taxname:324929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branchiplicatus cupreus,urn:lsid:marinespecies.org:taxname:327291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branchipolynoe sp.,urn:lsid:marinespecies.org:taxname:182930,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galapagomystides aristata,urn:lsid:marinespecies.org:taxname:328065,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Glycera sp.,urn:lsid:marinespecies.org:taxname:129296,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Hesionid sp.,urn:lsid:marinespecies.org:taxname:946,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,2,1,0,4,3,1,0,1,4,0,0,0,0,1,0,0
Hesiospina vestimentifera,urn:lsid:marinespecies.org:taxname:328356,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermiphione risensis,urn:lsid:marinespecies.org:taxname:1288749,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,2,0,0,0,0,0,0,0
Lepidonotopodium sp.,urn:lsid:marinespecies.org:taxname:182913,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
